NFL_Team,Position,Depth,Player
ARI,QB,1,Kyler Murray
ARI,QB,2,Jacoby Brissett
ARI,QB,3,Clayton Tune
ARI,RB,1,James Conner
ARI,RB,2,Trey Benson
ARI,RB,3,Emari DemercadoQ
ARI,RB,4,Michael Carter
ARI,WR,1,Marvin Harrison Jr.
ARI,WR,2,Zay Jones
ARI,WR,3,Andre Baccellia
ARI,WR,4,Trishton Jackson
ARI,WR,1,Michael Wilson
ARI,WR,2,Simi Fehoko
ARI,WR,3,Tejhaun Palmer
ARI,WR,4,Bryson Green
ARI,WR,1,Greg Dortch
ARI,WR,2,Xavier Weaver
ARI,WR,3,Quez Watkins
ARI,TE,1,Trey McBride
ARI,TE,2,Tip Reiman
ARI,TE,3,Elijah Higgins
ARI,TE,4,Josiah Deguara
ATL,QB,1,Michael Penix Jr.
ATL,QB,2,Kirk Cousins
ATL,QB,3,Easton Stick
ATL,QB,4,Emory Jones
ATL,RB,1,Bijan Robinson
ATL,RB,2,Tyler Allgeier
ATL,RB,3,Jase McClellan
ATL,RB,4,Carlos Washington Jr.
ATL,WR,1,Drake London
ATL,WR,2,KhaDarel Hodge
ATL,WR,3,Chris Blair
ATL,WR,4,David Sills V
ATL,WR,1,Darnell Mooney
ATL,WR,2,Casey Washington
ATL,WR,3,Dylan Drummond
ATL,WR,4,Nick Nash
ATL,WR,1,Ray-Ray McCloud III
ATL,WR,2,Jamal Agnew
ATL,WR,3,Jesse Matthews
ATL,WR,4,Makai Polk
ATL,TE,1,Kyle PittsQ
ATL,TE,2,Charlie Woerner
ATL,TE,3,Feleipe Franks
ATL,TE,4,Teagan Quitoriano
BAL,QB,1,Lamar Jackson
BAL,QB,2,Cooper Rush
BAL,QB,3,Devin Leary
BAL,RB,1,Derrick Henry
BAL,RB,2,Justice Hill
BAL,RB,3,Keaton Mitchell
BAL,RB,4,Rasheen Ali
BAL,WR,1,Zay Flowers
BAL,WR,2,Tylan Wallace
BAL,WR,3,Anthony Miller
BAL,WR,4,Dayton Wade
BAL,WR,1,Rashod Bateman
BAL,WR,2,Devontez Walker
BAL,WR,3,Malik Cunningham
BAL,WR,4,Jahmal Banks
BAL,WR,1,DeAndre Hopkins
BAL,WR,2,LaJohntay Wester
BAL,WR,3,Keith Kirkwood
BAL,WR,4,Xavier Guillory
BAL,TE,1,Mark Andrews
BAL,TE,2,Isaiah Likely
BAL,TE,3,Charlie Kolar
BAL,TE,4,Zaire Mitchell-Paden
BUF,QB,1,Josh Allen
BUF,QB,2,Mitchell Trubisky
BUF,QB,3,Mike White
BUF,QB,4,Shane Buechele
BUF,RB,1,James Cook
BUF,RB,2,Ray Davis
BUF,RB,3,Ty Johnson
BUF,RB,4,Darrynton Evans
BUF,WR,1,Khalil Shakir
BUF,WR,2,Elijah Moore
BUF,WR,3,Kaden Prather
BUF,WR,4,Tyrell Shavers
BUF,WR,1,Keon Coleman
BUF,WR,2,Curtis Samuel
BUF,WR,3,Jalen Virgil
BUF,WR,4,Kristian Wilkerson
BUF,WR,1,Joshua Palmer
BUF,WR,2,Laviska Shenault Jr.
BUF,WR,3,KJ Hamler
BUF,WR,4,Kelly Akharaiyi
BUF,TE,1,Dawson Knox
BUF,TE,2,Dalton Kincaid
BUF,TE,3,Jackson Hawes
BUF,TE,4,Zach Davidson
CAR,QB,1,Bryce Young
CAR,QB,2,Andy Dalton
CAR,QB,3,Jack Plummer
CAR,QB,4,Ethan Garbers
CAR,RB,1,Chuba Hubbard
CAR,RB,2,Rico Dowdle
CAR,RB,3,Trevor Etienne
CAR,RB,4,Raheem Blackshear
CAR,WR,1,Tetairoa McMillan
CAR,WR,2,Jalen CokerQ
CAR,WR,3,Jimmy Horn Jr.
