Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Year,Fantasy_Pts
1,Arian Foster,HOU,RB,24,16,13.0,0.0,0.0,0.0,0.0,0.0,327.0,1616.0,4.94,16.0,84.0,66.0,604.0,9.15,2.0,3.0,2.0,18,0.0,0.0,326.0,392.0,400.0,359.0,190.0,1,1.0,2010,392.0000033080578
2,Adrian Peterson,MIN,RB,25,15,15.0,0.0,0.0,0.0,0.0,0.0,283.0,1298.0,4.59,12.0,50.0,36.0,341.0,9.47,1.0,1.0,1.0,13,0.0,0.0,240.0,275.9,282.9,257.9,104.0,2,2.0,2010,275.9000024423003
3,Jamaal Charles,KAN,RB,24,16,6.0,0.0,0.0,0.0,0.0,0.0,230.0,1467.0,6.38,5.0,64.0,45.0,468.0,10.4,3.0,3.0,2.0,8,0.0,0.0,238.0,282.5,290.5,260.0,102.0,3,3.0,2010,282.5000028833747
4,Peyton Hillis,CLE,RB,24,16,14.0,1.0,2.0,13.0,0.0,0.0,270.0,1177.0,4.36,11.0,77.0,61.0,477.0,7.82,2.0,8.0,5.0,13,0.0,0.0,234.0,294.9,305.9,264.4,98.0,4,4.0,2010,295.0500024743378
5,Chris Johnson,TEN,RB,25,16,16.0,0.0,0.0,0.0,0.0,0.0,316.0,1364.0,4.32,11.0,57.0,44.0,245.0,5.57,1.0,3.0,2.0,12,0.0,0.0,229.0,272.9,280.9,250.9,93.0,5,5.0,2010,272.90000239759684
6,Brandon Lloyd,DEN,WR,29,16,11.0,0.0,0.0,0.0,0.0,0.0,1.0,-18.0,-18.0,0.0,153.0,77.0,1448.0,18.81,11.0,0.0,0.0,11,0.0,0.0,209.0,286.0,289.0,247.5,91.0,1,6.0,2010,286.00000213086605
7,Dwayne Bowe,KAN,WR,26,16,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,133.0,72.0,1162.0,16.14,15.0,1.0,0.0,15,0.0,0.0,207.0,278.6,281.6,242.6,89.0,2,7.0,2010,278.6000017374754
8,Darren McFadden,OAK,RB,23,13,13.0,0.0,1.0,0.0,0.0,0.0,223.0,1157.0,5.19,7.0,61.0,47.0,507.0,10.79,3.0,4.0,3.0,10,0.0,0.0,220.0,267.4,276.4,243.9,85.0,6,8.0,2010,267.4000024795532
9,Roddy White,ATL,WR,29,16,16.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,179.0,115.0,1389.0,12.08,10.0,1.0,1.0,10,2.0,0.0,201.0,316.2,320.2,258.7,84.0,3,9.0,2010,316.20000207424164
10,LeSean McCoy,PHI,RB,22,15,13.0,0.0,0.0,0.0,0.0,0.0,207.0,1080.0,5.22,7.0,91.0,78.0,592.0,7.59,2.0,2.0,1.0,9,0.0,0.0,219.0,297.2,304.2,258.2,83.0,7,10.0,2010,297.20000249147415
11,Rashard Mendenhall,PIT,RB,23,16,16.0,0.0,0.0,0.0,0.0,0.0,324.0,1273.0,3.93,13.0,34.0,23.0,167.0,7.26,0.0,2.0,2.0,13,0.0,0.0,218.0,241.0,249.0,229.5,82.0,8,11.0,2010,241.0000021457672
12,Michael Vick,PHI,QB,30,12,12.0,233.0,372.0,3018.0,21.0,6.0,100.0,676.0,6.76,9.0,0.0,0.0,0.0,,0.0,11.0,3.0,9,0.0,1.0,310.0,310.3,325.3,316.3,81.0,1,12.0,2010,388.5000032559037
13,Greg Jennings,GNB,WR,27,16,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,125.0,76.0,1265.0,16.64,12.0,2.0,0.0,12,0.0,0.0,198.0,274.4,277.4,236.4,81.0,4,13.0,2010,274.4000018835068
14,Michael Turner,ATL,RB,28,16,15.0,0.0,0.0,0.0,0.0,0.0,334.0,1371.0,4.1,12.0,20.0,12.0,85.0,7.08,0.0,2.0,2.0,12,0.0,0.0,214.0,225.6,230.6,219.6,78.0,11,14.0,2010,225.60000216960907
15,Matt Forte,CHI,RB,25,16,16.0,0.0,0.0,0.0,0.0,0.0,237.0,1069.0,4.51,6.0,70.0,51.0,547.0,10.73,3.0,3.0,2.0,9,1.0,0.0,214.0,264.6,272.6,239.1,78.0,9,15.0,2010,264.60000240802765
16,Ray Rice,BAL,RB,23,16,14.0,0.0,0.0,0.0,0.0,0.0,307.0,1220.0,3.97,5.0,83.0,63.0,556.0,8.83,1.0,0.0,0.0,6,0.0,0.0,214.0,276.6,282.6,245.1,78.0,10,16.0,2010,276.6000026464462
17,Aaron Rodgers,GNB,QB,27,15,15.0,312.0,475.0,3922.0,28.0,11.0,64.0,356.0,5.56,4.0,0.0,0.0,0.0,,0.0,4.0,1.0,4,0.0,0.0,304.0,304.5,322.5,315.5,75.0,2,17.0,2010,410.70000345259905
18,Mike Wallace,PIT,WR,24,16,16.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,7.8,0.0,98.0,60.0,1257.0,20.95,10.0,1.0,0.0,10,0.0,0.0,190.0,249.6,252.6,219.6,72.0,5,18.0,2010,249.6000019311905
19,Calvin Johnson,DET,WR,25,15,15.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,8.0,0.0,137.0,77.0,1120.0,14.55,12.0,1.0,0.0,12,1.0,0.0,189.0,266.2,269.2,227.7,72.0,6,19.0,2010,266.20000171661377
20,Tom Brady,NWE,QB,33,16,16.0,324.0,492.0,3900.0,36.0,4.0,31.0,30.0,0.97,1.0,0.0,0.0,0.0,,0.0,3.0,1.0,1,0.0,0.0,299.0,299.0,307.0,303.0,70.0,3,20.0,2010,414.0000029504299
21,Maurice Jones-Drew,JAX,RB,25,14,14.0,0.0,1.0,0.0,0.0,1.0,299.0,1324.0,4.43,5.0,44.0,34.0,317.0,9.32,2.0,2.0,2.0,7,0.0,0.0,200.0,234.1,243.1,218.1,64.0,12,21.0,2010,235.10000244528055
22,Steven Jackson,STL,RB,27,16,16.0,0.0,0.0,0.0,0.0,0.0,330.0,1241.0,3.76,6.0,62.0,46.0,383.0,8.33,0.0,1.0,1.0,6,0.0,0.0,196.0,242.4,249.4,219.4,61.0,13,22.0,2010,242.40000241994858
23,Jason Witten,DAL,TE,28,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,128.0,94.0,1002.0,10.66,9.0,1.0,1.0,9,1.0,0.0,154.0,248.2,252.2,201.2,58.0,1,23.0,2010,248.20000149309635
24,Peyton Manning,IND,QB,34,16,16.0,450.0,679.0,4700.0,33.0,17.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,0,0.0,0.0,286.0,285.8,306.8,302.8,57.0,4,24.0,2010,415.80000352859497
