Age,Tier,Avg_Fantasy_Pts,Position
21,Bench,113.36666774501403,QB
21,Top 20,374.4000033289194,QB
21,Top 30,226.40000235040984,QB
22,Bench,37.12272767011415,QB
22,Top 10,384.93750339653343,QB
22,Top 20,371.0000032931566,QB
22,Top 30,238.710716603856,QB
22,Top 5,463.1000039453308,QB
23,Bench,51.128409636037595,QB
23,Top 10,384.3285748266748,QB
23,Top 20,311.44643151254525,QB
23,Top 30,213.33636573431167,QB
23,Top 5,481.5714325883559,QB
24,Bench,31.728873597221895,QB
24,Top 10,399.02857483284816,QB
24,Top 20,331.4718780347612,QB
24,Top 30,227.6578970171119,QB
24,Top 5,440.466670366625,QB
25,Bench,35.85705164691004,QB
25,Top 10,370.4555587578151,QB
25,Top 20,329.04231072360506,QB
25,Top 30,204.64615585941536,QB
25,Top 5,469.4437538678758,QB
26,Bench,37.26578986683958,QB
26,Top 10,375.65000324323773,QB
26,Top 20,331.76428871655037,QB
26,Top 30,214.05769433052495,QB
26,Top 5,464.3000039253384,QB
27,Bench,36.6788736036126,QB
27,Top 10,397.835717721177,QB
27,Top 20,321.0000030156225,QB
27,Top 30,217.11111315091452,QB
27,Top 5,487.0000039761265,QB
28,Bench,40.05333374639352,QB
28,Top 10,398.8700034879148,QB
28,Top 20,310.1366695635021,QB
28,Top 30,223.4875021437183,QB
28,Top 5,467.8300037555397,QB
29,Bench,30.581000303402543,QB
29,Top 10,385.8000034451485,QB
29,Top 20,340.0269261125762,QB
29,Top 30,244.9250024035573,QB
29,Top 5,463.5300037153065,QB
30,Bench,36.59444481225477,QB
30,Top 10,411.65000346302986,QB
30,Top 20,325.3000030338764,QB
30,Top 30,216.16000193357468,QB
30,Top 5,428.750003490597,QB
31,Bench,39.70675711887511,QB
31,Top 10,397.1000033169985,QB
31,Top 20,337.64091217145324,QB
31,Top 30,255.80714506815588,QB
31,Top 5,465.1833370315532,QB
32,Bench,43.824286146355526,QB
32,Top 10,434.2100035317242,QB
32,Top 20,352.7600030571222,QB
32,Top 30,261.0222247325712,QB
32,Top 5,466.933337221543,QB
33,Bench,30.161111430299503,QB
33,Top 10,412.133336648345,QB
33,Top 20,357.1812530872412,QB
33,Top 30,200.97500174306333,QB
33,Top 5,460.29000361338257,QB
34,Bench,48.48478312644622,QB
34,Top 10,412.37500346265733,QB
34,Top 20,360.4714318183916,QB
34,Top 30,212.20833532077572,QB
34,Top 5,474.5833371716241,QB
35,Bench,43.35681861249561,QB
35,Top 10,406.250003580004,QB
35,Top 20,367.60000317916274,QB
35,Top 30,239.7000022277236,QB
35,Top 5,464.55000364407897,QB
36,Bench,24.873077182529066,QB
36,Top 10,406.60000343620777,QB
36,Top 20,311.6250029858202,QB
36,Top 30,237.5500022046268,QB
36,Top 5,457.0500037409365,QB
37,Bench,42.227778216616976,QB
37,Top 10,394.1500031463802,QB
37,Top 20,355.3125031637028,QB
37,Top 30,226.85000238195065,QB
37,Top 5,528.4666704535484,QB
38,Bench,54.30555607999364,QB
38,Top 10,359.900003246963,QB
38,Top 20,364.4500031657517,QB
38,Top 30,219.13750187214464,QB
38,Top 5,458.9333367943764,QB
39,Bench,43.17222268341316,QB
39,Top 10,413.9000030085445,QB
39,Top 20,344.3000029101968,QB
