Team Rank:,Team Name:,Team Score:,Team Ranks:,Avg. Age:,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ghost Writer,99,"QB:ﾠ4th, RB:ﾠ6th, WR:ﾠ1st, TE:ﾠ8th",25 y.o.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,
,,,,,Ja'Marr Chase,Justin Jefferson,Malik Nabers,Drake London,Joe Burrow,Breece Hall,Drake Maye,D.J. Moore,Brian Robinson,Isaiah Likely,Tyrone Tracy,Tyjae Spears,Jake Ferguson,Marvin Mims,Rashid Shaheed,Jonathon Brooks,Jalen Coker,Rico Dowdle,,,,,,,
,,,,,WR,WR,WR,WR,QB,RB,QB,WR,RB,TE,RB,RB,TE,WR,WR,RB,WR,RB,,,,,,,
,,,,,9999,9974,9603,7361,6462,6390,5436,5304,4181,3951,3934,3623,3401,3353,3273,3218,3020,2470,,,,,,,
2,Cee Dee Snuts,93,"QB:ﾠ3rd, RB:ﾠ1st, WR:ﾠ2nd, TE:ﾠ6th",25.4 y.o.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,Bijan Robinson,Puka Nacua,Nico Collins,Ladd McConkey,Rome Odunze,Caleb Williams,Chris Olave,Jaylen Waddle,Trevor Lawrence,Courtland Sutton,Michael Pittman,Trey Benson,Kyle Pitts,Justin Fields,Tua Tagovailoa,Isaac Guerendo,Quentin Johnston,Tyler Allgeier,Audric Estime,Cole Kmet,Roschon Johnson,J.K. Dobbins,Kendre Miller,Noah Gray,Zach Ertz
,,,,,RB,WR,WR,WR,WR,QB,WR,WR,QB,WR,WR,RB,TE,QB,QB,RB,WR,RB,RB,TE,RB,RB,RB,TE,TE
,,,,,9231,7885,7240,7133,5964,5383,5380,5337,4468,4319,4108,4028,3974,3641,3453,3295,2899,2882,2599,2594,2592,2539,2398,2227,2024
3,Lombardiﾒs Legacy,83,"QB:ﾠ1st, RB:ﾠ3rd, WR:ﾠ7th, TE:ﾠ1st",26 y.o.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,
,,,,,Lamar Jackson,Trey McBride,Jaxon Smith-Njigba,Jonathan Taylor,Kyren Williams,Kenneth Walker III,Jordan Addison,C.J. Stroud,Ricky Pearsall,George Kittle,Jordan Love,J.J. McCarthy,Davante Adams,Zach Charbonnet,Tucker Kraft,Jakobi Meyers,Rhamondre Stevenson,Romeo Doubs,,,,,,,
,,,,,QB,TE,WR,RB,RB,RB,WR,QB,WR,TE,QB,QB,WR,RB,TE,WR,RB,WR,,,,,,,
,,,,,7369,7231,7015,6347,6209,5796,5648,5515,5141,5047,5019,4542,4369,4267,3952,3918,3231,3064,,,,,,,
4,Omar Mahomies,76,"QB:ﾠ6th, RB:ﾠ5th, WR:ﾠ4th, TE:ﾠ2nd",26.5 y.o.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,
,,,,,Brock Bowers,Marvin Harrison Jr.,De'Von Achane,James Cook,Patrick Mahomes,Zay Flowers,DK Metcalf,Brandon Aiyuk,Michael Penix Jr.,Isiah Pacheco,Jauan Jennings,Dak Prescott,Javonte Williams,Cedric Tillman,Blake Corum,Marquise Brown,Dallas Goedert,Christian Kirk,Jordan Whittington,Kayshon Boutte,Jaleel McLaughlin,Adam Thielen,Gabriel Davis,,
,,,,,TE,WR,RB,RB,QB,WR,WR,WR,QB,RB,WR,QB,RB,WR,RB,WR,TE,WR,WR,WR,RB,WR,WR,,
,,,,,8828,7216,6746,5769,5581,5517,5466,4773,4393,4021,3961,3810,3300,3248,2958,2903,2852,2680,2215,2195,2087,1793,1238,,
5,Nevada Football Team,73,"QB:ﾠ9th, RB:ﾠ2nd, WR:ﾠ5th, TE:ﾠ3rd",28.1 y.o.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,Jahmyr Gibbs,Brian Thomas Jr.,Garrett Wilson,Sam LaPorta,Rashee Rice,Derrick Henry,Bo Nix,Baker Mayfield,Jayden Reed,Aaron Jones,Ray Davis,Keaton Mitchell,Chigoziem Okonkwo,Mike Gesicki,Ja'Lynn Polk,Austin Ekeler,Keenan Allen,DeAndre Hopkins,Devaughn Vele,Noah Fant,Tyler Conklin,Ray-Ray McCloud,Alexander Mattison,Aaron Rodgers,Derek Carr
,,,,,RB,WR,WR,TE,WR,RB,QB,QB,WR,RB,RB,RB,TE,TE,WR,RB,WR,WR,WR,TE,TE,WR,RB,QB,QB
,,,,,9113,8226,6634,6190,6186,5552,5336,4579,4570,3725,3086,2349,2336,2243,2203,2101,1867,1810,1774,1735,1426,1321,1316,1087,709
6,Blitz & the Tantrums,65,"QB:ﾠ8th, RB:ﾠ8th, WR:ﾠ3rd, TE:ﾠ10th",26.6 y.o.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,
